,year,state,commodity_name,refed_food_department,refed_food_category,acres_planted,acres_harvested,us_dollars_harvested,tons_harvested,percent_maturity
2202,2016,Alabama,PECANS,Dry goods,Nuts and seeds,8900.0,8900.0,4467000.0,1100.0,0.5
2203,2016,Alabama,PEANUTS,Dry goods,Nuts and seeds,175000.0,172000.0,121982000.0,309600.0,0.5
2204,2016,Arizona,PECANS,Dry goods,Nuts and seeds,15000.0,15000.0,67208000.0,12400.0,0.5
2205,2016,Arkansas,PEANUTS,Dry goods,Nuts and seeds,24000.0,23000.0,20424000.0,55200.0,0.5
2206,2016,California,PECANS,Dry goods,Nuts and seeds,3500.0,3500.0,14656000.0,2885.0,0.5
2207,2016,California,WALNUTS,Dry goods,Nuts and seeds,315000.0,315000.0,1274650000.0,689000.0,0.5
2208,2016,California,ALMONDS,Dry goods,Nuts and seeds,970000.0,970000.0,5052460000.0,1070000.0,0.5
2209,2016,California,PISTACHIOS,Dry goods,Nuts and seeds,239000.0,239000.0,1506120000.0,448250.0,0.5
2210,2016,Florida,PEANUTS,Dry goods,Nuts and seeds,155000.0,146000.0,107076000.0,277400.0,0.5
2211,2016,Georgia,PECANS,Dry goods,Nuts and seeds,120000.0,120000.0,272500000.0,54500.0,0.5
2212,2016,Georgia,PEANUTS,Dry goods,Nuts and seeds,720000.0,706000.0,512132000.0,1376700.0,0.5
2213,2016,Hawaii,MACADAMIAS,Dry goods,Nuts and seeds,16500.0,16500.0,42000000.0,21000.0,0.5
2214,2016,Louisiana,PECANS,Dry goods,Nuts and seeds,12300.0,12300.0,6175000.0,2000.0,0.5
2215,2016,Mississippi,PEANUTS,Dry goods,Nuts and seeds,39000.0,38000.0,27664000.0,76000.0,0.5
2216,2016,New Mexico,PECANS,Dry goods,Nuts and seeds,40000.0,40000.0,213120000.0,36000.0,0.5
2217,2016,New Mexico,PEANUTS,Dry goods,Nuts and seeds,8000.0,8000.0,4480000.0,11200.0,0.5
2218,2016,North Carolina,PEANUTS,Dry goods,Nuts and seeds,101000.0,99000.0,74437000.0,174735.0,0.5
2219,2016,Oklahoma,PECANS,Dry goods,Nuts and seeds,94000.0,94000.0,24660000.0,6000.0,0.5
2220,2016,Oklahoma,PEANUTS,Dry goods,Nuts and seeds,13000.0,12000.0,9368000.0,22200.0,0.5
2221,2016,Oregon,HAZELNUTS,Dry goods,Nuts and seeds,37000.0,37000.0,118800000.0,44000.0,0.5
2222,2016,South Carolina,PEANUTS,Dry goods,Nuts and seeds,110000.0,106000.0,65126000.0,169600.0,0.5
2223,2016,Texas,PECANS,Dry goods,Nuts and seeds,100000.0,100000.0,94020000.0,19500.0,0.5
2224,2016,Texas,PEANUTS,Dry goods,Nuts and seeds,305000.0,205000.0,129839000.0,279825.0,0.5
2225,2016,Virginia,PEANUTS,Dry goods,Nuts and seeds,21000.0,21000.0,15637000.0,38325.0,0.5
2226,2016,California,OLIVES,Dry goods,"Pickles, olives, and pickled vegetables",40000.0,40000.0,141761000.0,164900.0,0.5
2227,2016,California,APPLES,Produce,Apples,14000.0,14000.0,51775000.0,127500.0,0.5
2228,2016,Connecticut,APPLES,Produce,Apples,1800.0,1800.0,12163000.0,6450.0,0.5
2229,2016,Idaho,APPLES,Produce,Apples,2200.0,2200.0,9628000.0,27600.0,0.5
2230,2016,Illinois,APPLES,Produce,Apples,1700.0,1700.0,15783000.0,9350.0,0.5
2231,2016,Maine,APPLES,Produce,Apples,2700.0,2700.0,16307000.0,16950.0,0.5
2232,2016,Maryland,APPLES,Produce,Apples,1800.0,1800.0,10615000.0,20300.0,0.5
2233,2016,Massachusetts,APPLES,Produce,Apples,3100.0,3100.0,13483000.0,15500.0,0.5
2234,2016,Michigan,APPLES,Produce,Apples,33000.0,33000.0,325195000.0,637500.0,0.5
2235,2016,Minnesota,APPLES,Produce,Apples,2900.0,2900.0,17052000.0,10750.0,0.5
2236,2016,New Jersey,APPLES,Produce,Apples,2200.0,2200.0,33590000.0,15950.0,0.5
2237,2016,New York,APPLES,Produce,Apples,43000.0,43000.0,345935000.0,625000.0,0.5
2238,2016,North Carolina,APPLES,Produce,Apples,5600.0,5600.0,26906000.0,57000.0,0.5
2239,2016,Ohio,APPLES,Produce,Apples,4000.0,4000.0,21656000.0,20950.0,0.5
2240,2016,Oregon,APPLES,Produce,Apples,5000.0,5000.0,59779000.0,97700.0,0.5
2241,2016,Pennsylvania,APPLES,Produce,Apples,20000.0,20000.0,89203000.0,233500.0,0.5
2242,2016,Vermont,APPLES,Produce,Apples,1900.0,1900.0,20419000.0,15000.0,0.5
2243,2016,Virginia,APPLES,Produce,Apples,10300.0,10300.0,35854000.0,90000.0,0.5
2244,2016,Washington,APPLES,Produce,Apples,165000.0,165000.0,2350703000.0,3660000.0,0.5
2245,2016,West Virginia,APPLES,Produce,Apples,4600.0,4600.0,14742000.0,40000.0,0.5
2246,2016,Wisconsin,APPLES,Produce,Apples,4000.0,4000.0,21819000.0,20500.0,0.5
2247,2016,California,APRICOTS,Produce,Apricots,10000.0,10000.0,48929000.0,56000.0,0.5
2248,2016,Washington,APRICOTS,Produce,Apricots,1000.0,1000.0,8473000.0,8050.0,0.5
2249,2016,California,ARTICHOKES,Produce,Artichokes,6800.0,6800.0,77697000.0,49300.0,0.5
2250,2016,California,ASPARAGUS,Produce,Asparagus,9400.0,9000.0,30456000.0,10800.0,0.5
2251,2016,Michigan,ASPARAGUS,Produce,Asparagus,11400.0,10400.0,22801000.0,13000.0,0.5
2252,2016,New Jersey,ASPARAGUS,Produce,Asparagus,2200.0,2100.0,14330000.0,4200.0,0.5
2253,2016,Washington,ASPARAGUS,Produce,Asparagus,4600.0,4400.0,24102000.0,13640.0,0.5
2254,2016,California,AVOCADOS,Produce,Avocados,50900.0,50900.0,351240000.0,113000.0,0.5
2255,2016,Florida,AVOCADOS,Produce,Avocados,6000.0,6000.0,19080000.0,24100.0,0.5
2256,2016,Hawaii,AVOCADOS,Produce,Avocados,800.0,800.0,1934000.0,950.0,0.5
2257,2016,Hawaii,BANANAS,Produce,Bananas,1050.0,1050.0,5592000.0,2800.0,0.5
2258,2016,California,PEPPERS,Produce,Bell peppers,17200.0,17100.0,226411000.0,354825.0,0.5
2259,2016,Florida,PEPPERS,Produce,Bell peppers,13500.0,12900.0,125962000.0,190275.0,0.5
2260,2016,Georgia,PEPPERS,Produce,Bell peppers,3300.0,3200.0,32736000.0,48000.0,0.5
2261,2016,Michigan,PEPPERS,Produce,Bell peppers,1800.0,1700.0,16354000.0,22100.0,0.5
2262,2016,New Jersey,PEPPERS,Produce,Bell peppers,3500.0,3400.0,29520000.0,46750.0,0.5
2263,2016,New York,PEPPERS,Produce,Bell peppers,1000.0,900.0,7700000.0,13050.0,0.5
2264,2016,North Carolina,PEPPERS,Produce,Bell peppers,2400.0,2300.0,18975000.0,28750.0,0.5
2265,2016,Ohio,PEPPERS,Produce,Bell peppers,2000.0,1900.0,21279000.0,23750.0,0.5
2266,2016,Pennsylvania,PEPPERS,Produce,Bell peppers,1000.0,900.0,7063000.0,7425.0,0.5
2267,2016,Oregon,BLACKBERRIES,Produce,Blackberries,7000.0,7000.0,26387000.0,29180.0,0.5
2268,2016,California,BLUEBERRIES,Produce,Blueberries,6400.0,6400.0,108765000.0,30250.0,0.5
2269,2016,Florida,BLUEBERRIES,Produce,Blueberries,4700.0,4700.0,53656000.0,7350.0,0.5
2270,2016,Georgia,BLUEBERRIES,Produce,Blueberries,16900.0,16900.0,88305000.0,35400.0,0.5
2271,2016,Maine,BLUEBERRIES,Produce,Blueberries,23100.0,23100.0,27679000.0,50920.0,0.5
2272,2016,Michigan,BLUEBERRIES,Produce,Blueberries,20300.0,20300.0,130350000.0,55150.0,0.5
2273,2016,Mississippi,BLUEBERRIES,Produce,Blueberries,1800.0,1800.0,10947000.0,4100.0,0.5
2274,2016,New Jersey,BLUEBERRIES,Produce,Blueberries,9300.0,9300.0,59390000.0,22060.0,0.5
2275,2016,New York,BLUEBERRIES,Produce,Blueberries,900.0,900.0,3235000.0,695.0,0.5
2276,2016,North Carolina,BLUEBERRIES,Produce,Blueberries,7200.0,7200.0,66924000.0,23300.0,0.5
2277,2016,Oregon,BLUEBERRIES,Produce,Blueberries,11900.0,11900.0,104580000.0,58500.0,0.5
2278,2016,Washington,BLUEBERRIES,Produce,Blueberries,13400.0,13400.0,94008000.0,60000.0,0.5
2279,2016,Arizona,BROCCOLI,Produce,Broccoli,9300.0,9300.0,72205000.0,55800.0,0.5
2280,2016,California,BROCCOLI,Produce,Broccoli,123000.0,122000.0,774390000.0,1067500.0,0.5
2281,2016,Arizona,CABBAGE,Produce,Cabbage,3700.0,3700.0,50435000.0,79550.0,0.5
2282,2016,California,CABBAGE,Produce,Cabbage,14600.0,14400.0,158976000.0,288000.0,0.5
2283,2016,Florida,CABBAGE,Produce,Cabbage,8500.0,7900.0,49422000.0,134300.0,0.5
2284,2016,Georgia,CABBAGE,Produce,Cabbage,4400.0,4100.0,21968000.0,77900.0,0.5
2285,2016,Michigan,CABBAGE,Produce,Cabbage,3600.0,3500.0,15987000.0,57750.0,0.5
2286,2016,New York,CABBAGE,Produce,Cabbage,11000.0,10600.0,70962000.0,204050.0,0.5
2287,2016,North Carolina,CABBAGE,Produce,Cabbage,3000.0,2900.0,13073000.0,35525.0,0.5
2288,2016,Texas,CABBAGE,Produce,Cabbage,6100.0,5700.0,35910000.0,99750.0,0.5
2289,2016,Wisconsin,CABBAGE,Produce,Cabbage,4100.0,4000.0,31721000.0,133000.0,0.5
2290,2016,Arizona,CANTALOUPE,Produce,Cantaloupe,16000.0,15900.0,63147000.0,186825.0,0.5
2291,2016,California,CANTALOUPE,Produce,Cantaloupe,30000.0,29500.0,142485000.0,442500.0,0.5
2292,2016,Florida,CANTALOUPE,Produce,Cantaloupe,2400.0,2300.0,11861000.0,31050.0,0.5
2293,2016,Georgia,CANTALOUPE,Produce,Cantaloupe,4100.0,4000.0,12988000.0,34000.0,0.5
2294,2016,Indiana,CANTALOUPE,Produce,Cantaloupe,1800.0,1700.0,7234000.0,15725.0,0.5
2295,2016,North Carolina,CANTALOUPE,Produce,Cantaloupe,1200.0,1100.0,6618000.0,10340.0,0.5
2296,2016,Pennsylvania,CANTALOUPE,Produce,Cantaloupe,1000.0,1000.0,3645000.0,6750.0,0.5
2297,2016,South Carolina,CANTALOUPE,Produce,Cantaloupe,1700.0,1600.0,7362000.0,17200.0,0.5
2298,2016,Texas,CANTALOUPE,Produce,Cantaloupe,2000.0,1900.0,5225000.0,11875.0,0.5
2299,2016,California,CARROTS,Produce,Carrots,61000.0,60000.0,722395000.0,1155000.0,0.5
2300,2016,Michigan,CARROTS,Produce,Carrots,4000.0,3900.0,12700000.0,66300.0,0.5
2301,2016,Texas,CARROTS,Produce,Carrots,2100.0,2000.0,6608000.0,29500.0,0.5
2302,2016,Washington,CARROTS,Produce,Carrots,7200.0,7100.0,34528000.0,223650.0,0.5
2303,2016,Wisconsin,CARROTS,Produce,Carrots,4600.0,4500.0,10588000.0,112500.0,0.5
2304,2016,Arizona,CAULIFLOWER,Produce,Cauliflower,5400.0,5400.0,70707000.0,44550.0,0.5
2305,2016,California,CAULIFLOWER,Produce,Cauliflower,36500.0,36500.0,345054000.0,328500.0,0.5
2306,2016,California,CELERY,Produce,Celery,31700.0,31200.0,303355000.0,826800.0,0.5
2307,2016,Michigan,CELERY,Produce,Celery,2000.0,1900.0,15966000.0,57000.0,0.5
2308,2016,California,CHERRIES,Produce,Cherries,33000.0,33000.0,184490000.0,55000.0,0.5
2309,2016,Michigan,CHERRIES,Produce,Cherries,33700.0,33700.0,71975000.0,136110.0,0.5
2310,2016,New York,CHERRIES,Produce,Cherries,1600.0,1600.0,2400000.0,3950.0,0.5
2311,2016,Oregon,CHERRIES,Produce,Cherries,13000.0,13000.0,79235000.0,62080.0,0.5
2312,2016,Utah,CHERRIES,Produce,Cherries,3300.0,3300.0,17533000.0,26400.0,0.5
2313,2016,Washington,CHERRIES,Produce,Cherries,41300.0,41300.0,500647000.0,224550.0,0.5
2314,2016,Wisconsin,CHERRIES,Produce,Cherries,1700.0,1700.0,4076000.0,6800.0,0.5
2315,2016,Arizona,CHILI PEPPERS,Produce,Chili peppers,1600.0,1600.0,4439000.0,6080.0,0.5
2316,2016,California,CHILI PEPPERS,Produce,Chili peppers,5700.0,5600.0,82921000.0,127400.0,0.5
2317,2016,New Mexico,CHILI PEPPERS,Produce,Chili peppers,9200.0,8700.0,51028000.0,69600.0,0.5
2318,2016,Texas,CHILI PEPPERS,Produce,Chili peppers,2600.0,2300.0,6576000.0,5750.0,0.5
2319,2016,Massachusetts,CRANBERRIES,Produce,Cranberries,12900.0,12900.0,68911000.0,113400.0,0.5
2320,2016,New Jersey,CRANBERRIES,Produce,Cranberries,3100.0,3100.0,27835000.0,32650.0,0.5
2321,2016,Oregon,CRANBERRIES,Produce,Cranberries,2800.0,2800.0,10457000.0,20050.0,0.5
2322,2016,Washington,CRANBERRIES,Produce,Cranberries,1600.0,1600.0,7742000.0,8770.0,0.5
